variant,fit_s,pred_s,auc,group,metric_value,metric_name,rmse,model,n_trees
brute,0.0017261035000046832,0.03931809149992205,0.8393417235160354,KNN,0.8393417235160354,auc,,,
kd_tree,0.010877568500006873,0.2563932895000107,0.8393417235160354,KNN,0.8393417235160354,auc,,,
ball_tree,0.007672127000034834,0.15265892799993708,0.8393417235160354,KNN,0.8393417235160354,auc,,,
faiss_flat,0.0,0.018245669999942038,0.8393417235160354,KNN,0.8393417235160354,auc,,,
Ridge: default (auto),0.002622465000001739,,,Ridge/Lasso,0.003839543618967974,rmse,0.003839543618967974,Ridge,
Ridge: saga,1.2327547959999379,,,Ridge/Lasso,0.00384000357137643,rmse,0.00384000357137643,Ridge,
Lasso: cd (default),0.0036718999999720836,,,Ridge/Lasso,0.004262993368039505,rmse,0.004262993368039505,Lasso,
Lasso: SGD (L1),0.010139630500020758,,,Ridge/Lasso,0.004363213766326471,rmse,0.004363213766326471,Lasso,
fit (completo),0.003161621499998546,,0.870251117384145,NaiveBayes,0.870251117384145,auc,,,
partial_fit (batch=256),0.011623017500028254,,0.870251117384145,NaiveBayes,0.870251117384145,auc,,,
exact (no early stop),4.119226887000025,,,XGBoost,0.005173082234663582,rmse,0.005173082234663582,,500.0
hist + early stop,0.47142877350000845,,,XGBoost,0.004170661449674349,rmse,0.004170661449674349,,247.0
SVC RBF (estándar),2.5484665929999437,,0.9136085626911316,SVM,0.9136085626911316,auc,,,
LinearSVC + Platt,0.06295999349998738,,0.9438759507566847,SVM,0.9438759507566847,auc,,,
SGD hinge + Platt,0.07709546800003864,,0.9395926448678742,SVM,0.9395926448678742,auc,,,
