model_a,model_b,auc_a,auc_b,auc_diff,delong_stat,p_value,significant_005,significant_bonf
knn,gaussian_nb,0.8393417235160354,0.870251117384145,-0.030909393868109536,-1.390777468205959,0.16429291766059384,False,False
knn,logreg_l1,0.8393417235160354,0.9442876185995452,-0.10494589508350982,-4.394954142425997,1.1079614068876253e-05,True,True
knn,logreg_l2,0.8393417235160354,0.944228808907708,-0.10488708539167257,-4.400040946839321,1.0823045368590911e-05,True,True
knn,tree,0.8393417235160354,0.9251401630988787,-0.08579843958284328,-3.220356588915155,0.0012803123313278597,True,True
knn,rf,0.8393417235160354,0.9558633262761704,-0.11652160276013501,-5.248919354721549,1.5299402855717403e-07,True,True
knn,svm,0.8393417235160354,0.9136085626911316,-0.07426683917509613,-3.4519142354557295,0.0005566246232340255,True,True
knn,xgb,0.8393417235160354,0.9557163020465773,-0.1163745785305419,-5.11405579468908,3.1531415434216115e-07,True,True
gaussian_nb,logreg_l1,0.870251117384145,0.9442876185995452,-0.07403650121540029,-4.083100045229224,4.443887998739626e-05,True,True
gaussian_nb,logreg_l2,0.870251117384145,0.944228808907708,-0.07397769152356304,-4.0802560192798785,4.498612539238778e-05,True,True
gaussian_nb,tree,0.870251117384145,0.9251401630988787,-0.05488904571473374,-2.470496022903477,0.013492581924671176,True,False
gaussian_nb,rf,0.870251117384145,0.9558633262761704,-0.08561220889202548,-4.845012755449374,1.2660354482552094e-06,True,True
gaussian_nb,svm,0.870251117384145,0.9136085626911316,-0.0433574453069866,-2.7521323836821665,0.00592085805853082,True,False
gaussian_nb,xgb,0.870251117384145,0.9557163020465773,-0.08546518466243236,-4.367592117640034,1.2562381794145594e-05,True,True
logreg_l1,logreg_l2,0.9442876185995452,0.944228808907708,5.880969183724716e-05,0.23488550330973326,0.8142976015222152,False,False
logreg_l1,tree,0.9442876185995452,0.9251401630988787,0.019147455500666544,1.081806042076776,0.27933872127820836,False,False
logreg_l1,rf,0.9442876185995452,0.9558633262761704,-0.011575707676625191,-0.8487493009041805,0.3960208066982007,False,False
logreg_l1,svm,0.9442876185995452,0.9136085626911316,0.030679055908413688,2.11059953731734,0.034806747479839695,True,False
logreg_l1,xgb,0.9442876185995452,0.9557163020465773,-0.011428683447032073,-1.136303856058001,0.25582941752595634,False,False
logreg_l2,tree,0.944228808907708,0.9251401630988787,0.019088645808829297,1.0789674102836984,0.2806022560119106,False,False
logreg_l2,rf,0.944228808907708,0.9558633262761704,-0.011634517368462438,-0.8557826823692748,0.3921179958718475,False,False
logreg_l2,svm,0.944228808907708,0.9136085626911316,0.03062024621657644,2.1052235613945234,0.03527185222907803,True,False
logreg_l2,xgb,0.944228808907708,0.9557163020465773,-0.01148749313886932,-1.1513843141232285,0.24957416408198618,False,False
tree,rf,0.9251401630988787,0.9558633262761704,-0.030723163177291735,-2.220430802807562,0.026389538042826732,True,False
tree,svm,0.9251401630988787,0.9136085626911316,0.011531600407747145,0.6413111498252464,0.5213205465124777,False,False
tree,xgb,0.9251401630988787,0.9557163020465773,-0.030576138947698617,-2.0955159239419263,0.03612515440538333,True,False
rf,svm,0.9558633262761704,0.9136085626911316,0.04225476358503888,3.702097679862608,0.0002138242601901208,True,True
rf,xgb,0.9558633262761704,0.9557163020465773,0.0001470242295931179,0.017709726796807764,0.9858704210037106,False,False
svm,xgb,0.9136085626911316,0.9557163020465773,-0.04210773935544576,-3.507033308866045,0.00045313242415812027,True,True
