model,rmse_point,ci95_lo,ci95_hi
xgb_optuna_08,0.0038159654001367078,0.0035061463754773453,0.00415169062181046
ridge_05,0.003839543618967974,0.003448925185701295,0.004271790456449461
xgb_05,0.003959209685284951,0.003642761468761655,0.0043091939721340835
xgb_grid_08,0.003977695023077072,0.0036592392751537686,0.004328711056024048
xgb_random_08,0.003987338023420454,0.0036681182655532497,0.004335975089349038
xgb_deap_08,0.004049962052836926,0.0037560347975330614,0.004371139585931991
naive,0.004252694716693691,0.003708177828574225,0.00483967723090397
lasso_05,0.004262993368039505,0.0038727651464770117,0.004693299246447029
tree_05,0.004292415127223761,0.0039132927086872925,0.004707489309948042
rf_05,0.004505555860583516,0.004180836896330502,0.004860704357472529
har_rv,0.005602910165006593,0.005158539017492822,0.006062291149634391
ewma_094,0.005972536129881908,0.005637462036847701,0.006336896407794351
arima_101,0.006032918517290341,0.005487800317905557,0.006570983192652957
knn_05,0.006252648870128588,0.005973278220249905,0.006553428603611129
rolling_mean_22,0.006892400798273564,0.006416959892858034,0.007406866955338412
garch_11,0.00789377307086404,0.007617234151799184,0.008198888677159262
svr_05,0.02286154721832641,0.02219959953849047,0.023508127129962118
