feature,gain,weight,cover
vol_5,0.015004005283117294,346.0,1692.057861328125
true_range,0.0008329255506396294,120.0,1131.3917236328125
atr_14,0.000604417989961803,130.0,1346.24609375
vol_22,0.0004521435184869915,116.0,1016.6724243164062
range_hl,0.00042571360245347023,112.0,677.5535888671875
px_dist_sma_10,0.00039853350608609617,131.0,844.656494140625
ret_lag_3,0.0003883919562213123,450.0,2062.066650390625
ret_lag_1,0.0003747406881302595,305.0,2323.616455078125
vol_10,0.00036296655889600515,127.0,1337.976318359375
ret_lag_2,0.00036123438621871173,386.0,2269.10107421875
volume_ratio,0.00034548703115433455,178.0,897.7528076171875
momentum_5,0.0003404036979191005,167.0,1193.4132080078125
vol_w,0.00033381846151314676,209.0,1682.9473876953125
momentum_10,0.00029850416467525065,111.0,691.9639892578125
px_dist_sma_22,0.0002556882973294705,112.0,840.1785888671875
log_volume,0.0002548309857957065,110.0,468.4181823730469
ret_lag_10,0.0002451825130265206,120.0,539.0083618164062
px_dist_sma_50,0.00024383130948990583,91.0,1291.5823974609375
sma_50,0.0002109495981130749,84.0,1006.3571166992188
volume_lag_1,0.00021022897271905094,116.0,633.5689697265625
vol_m,0.00020214075630065054,89.0,846.1123657226562
momentum_22,0.00020003276586066931,94.0,749.5
vol_d,0.00019964687817264348,244.0,2303.090087890625
kurt_22,0.00019825456547550857,126.0,811.7619018554688
sma_10,0.00019399018492549658,69.0,914.5652465820312
skew_22,0.0001917132904054597,118.0,580.9915161132812
log_volume_ma_10,0.0001790111418813467,104.0,885.4903564453125
ret_lag_5,0.0001766795030562207,219.0,1685.876708984375
sma_22,0.00017635936092119664,61.0,1845.786865234375
dow,0.00017064424173440784,28.0,691.1071166992188
month,0.0001574536581756547,41.0,506.0975646972656
